,ean,ctr
1186,05909991320737,0
1188,05909991320751,0
1190,05901720140005,0
1192,05901720140012,0
1194,05909990491315,0
1196,05909990491414,0
1198,05909990022571,0
1200,05909991013820,0
1202,05909990903320,0
1204,05909990903429,0
1206,05909990903511,0
1208,05909990080267,0
1210,05909991330576,0
1211,05909990072316,0
1212,05909991219130,0
1213,05909991219161,0
1214,08594012697638,0
1215,08594012697645,0
1216,05909991432980,0
1217,05909991432997,0
1218,05909991324551,0
1219,05906414003185,0
1220,05909991324537,0
1221,05906414003192,0
1222,05909991419776,0
1223,05909991419813,0
1224,05901720140296,0
1225,05901720140210,0
1226,05901797710644,0
1227,05901797710668,0
1228,05909991231040,0
1229,05909991231064,0
1230,05909991386498,0
1231,05909991222239,0
1232,05909991222253,0
1233,05909991383688,0
1234,05909991222321,0
1235,05909991383695,0
1236,05909991222345,0
1237,05909991352172,0
1238,05909991396688,0
1239,05909991396664,0
1240,05909991249540,0
1241,05909991249618,0
1242,05909991249885,0
1243,05909991249946,0
1244,05909991328696,0
1245,05909991372606,0
1246,05909991138509,0
1247,05909990015030,0
1248,05909990015054,0
1249,05909990020836,0
1250,05909990020829,0
1251,05909990014934,0
1252,05909990014958,0
1253,05909990774920,0
1254,05909990048328,0
1255,05909990048427,0
1256,05909990774821,0
1257,05909990775026,0
1258,05909990891429,0
1259,05909990891528,0
1260,05906395161096,0
1261,05906395161010,0
1262,05906395161034,0
1263,05906395161058,0
1264,05906395161072,0
1265,05906395161126,0
1266,05906395161164,0
1267,05909990042579,0
1268,05909990211517,0
1269,05909990926497,0
1270,05909991074975,0
1271,05909990926534,0
1272,05909991074999,0
1273,05909990841332,0
1274,05909990841363,0
1275,05909990876280,0
1276,05909990876327,0
1277,05903060619548,0
1278,05909990876778,0
1279,05909990876808,0
1280,05903060619555,0
1281,05909991268275,0
1282,05909991268282,0
1283,05909990661411,0
1284,05909990304219,0
1285,05909990447619,0
1286,05909990447718,0
1287,05909991441678,0
1288,05909991382100,0
1289,05909990330713,0
1290,05909990823215,0
1291,05909990169214,0
1292,05909990221073,0
1293,05909990973316,0
1294,05909990329717,0
1295,05909990444717,0
1296,05909990444816,0
1297,05909990451210,0
1298,05909990227310,0
1299,05909990879458,0
1300,05909990879465,0
1301,05909990060016,0
1302,05909990060023,0
1303,05909991383817,0
1304,05909990873319,0
1305,05909990072514,0
1306,05909990244911,0
1307,05909990211654,0
1308,05909990211357,0
1309,05909990211845,0
1310,05909990798094,0
1311,05909990812202,0
1312,05909991335489,0
1313,05909991388669,0
1314,05909991402303,0
1315,05909991402310,0
1316,05909991347161,0
1317,05909991096229,0
1318,05909991414450,0
1319,05909991311407,0
1320,05909991304416,0
1321,05909990996902,0
1322,05909991421601,0
1323,05909991421564,0
1324,05909991421526,0
1325,05909990014835,0
1326,05909990014828,0
1327,05909990761562,0
1329,05909990761548,0
1330,05909991391607,0
1332,05909991391522,0
1333,03838989705145,0
1335,03838989705152,0
1336,05909991402983,0
1338,05909991402952,0
1339,05909990344918,0
1340,05909990344819,0
1341,05909990754496,0
1342,05909990909414,0
1343,05909990754526,0
1344,05909990713974,0
1345,05909990611065,0
1346,05909990109814,0
1347,05909990492114,0
1348,05907594032309,0
1349,05907594032408,0
1350,05907594032507,0
1351,05909991212339,0
1352,05907594031500,0
1353,05907594031609,0
1354,05909991201173,0
1355,05907594031708,0
1356,05907594031807,0
1357,05909990687947,0
1358,05909990492817,0
1359,05909990903917,0
1360,05909990431342,0
1361,05909990917815,0
1362,05909990376414,0
1363,05909990101917,0
1364,05909991455965,0
1365,05909991455989,0
1366,05909991456009,0
1367,05909990765713,0
1368,05909990765416,0
1369,05909990765515,0
1370,05909990765614,0
1371,05909990643011,0
1372,05909990643035,0
1373,05909990643059,0
1374,05909990054695,0
1375,05909990054589,0
1376,05909990054626,0
1377,05909990054664,0
1378,05909991204853,0
1379,05909990000098,0
1380,05909991204822,0
1381,05909991204839,0
1382,05909990000050,0
1383,05909991204846,0
1384,05909990000081,0
1385,05909990699735,0
1386,05909990699889,0
1387,05909990699643,0
1388,05909990043330,0
1389,05909990043163,0
1390,05909990043279,0
1391,05909990043385,0
1392,05909990043224,0
1393,05909990955503,0
1394,05909990955527,0
1395,05909990955541,0
1396,05909990955558,0
1397,05909991074647,0
1398,05909991074685,0
1399,05909991074739,0
1400,05909991074777,0
1401,05909991074593,0
1402,05909991074821,0
1403,05055565713846,0
1404,05055565713860,0
1405,05055565726068,0
1406,05055565713853,0
1407,05055565713877,0
1408,05055565726075,0
1409,05909990687787,0
1410,05909990687848,0
1411,05909990711949,0
1412,05909990711987,0
1413,05909990055470,0
1414,05909990906154,0
1415,05909990067770,0
1416,05909990048670,0
1417,05909990938797,0
1418,05909991222673,0
1419,05909991282288,0
1420,05909990713127,0
1421,05909990713141,0
1422,05909990082391,0
1423,05909991207311,0
1424,05909991151218,0
1425,05909990811045,0
1426,05909991284053,0
1427,05909990055098,0
1428,05909991289430,0
1429,05909991096571,0
1430,05909991096601,0
1431,05909990017973,0
1432,05909990050895,0
1433,05909990017997,0
1434,05909990077267,0
1435,05909990077274,0
1436,05909990362110,0
1437,05909990074105,0
1438,05909991107871,0
1439,05909991088842,0
1440,05909991053710,0
1441,05909991257804,0
1442,05909990662388,0
1443,05909990662371,0
1444,05909990490615,0
1445,05907529466339,0
1446,05909991283247,0
1447,05909990490523,0
1448,05909990490516,0
1449,05909991097219,0
1450,05909991262679,0
1451,05909991262617,0
1452,05909991262488,0
1453,05909991262457,0
1454,05909991273798,0
1455,05909990780181,0
1456,05909990859719,0
1457,05909990017874,0
1458,05909990017881,0
1459,05909991022556,0
1460,05909991022549,0
1461,05909990859511,0
1462,05909990859610,0
1463,05909990859672,0
1464,05909990869756,0
1465,05909990869732,0
1466,05909990869763,0
1467,05909991365745,0
1468,05909990869770,0
1469,05909990869695,0
1470,05909990869688,0
